,subjects,relations,objects,texts,need_curation,AEO_cat,annotations
0,they,emptied,the whole ghetto,"
But then, in November 1942, they emptied the whole ghetto.",FALSE,Agency_Active,
0,they,separated,young people,"But first, they separated young people and older people so we were in separate wagons.",FALSE,Agency_Active,
1,we,were,in separate wagons,"But first, they separated young people and older people so we were in separate wagons.",FALSE,Orientation,
0,we,traveled,a few days maybe two days a night,"So we traveled a few days, maybe two days and a night, and we arrived in Auschwitz.",FALSE,Agency_Active,
1,we,arrived,in Auschwitz,"So we traveled a few days, maybe two days and a night, and we arrived in Auschwitz.",FALSE,Agency_Active,
0,they,used to separate,you women separate young men separate old people separate women with children separate,"And right there, you know, they used to separate you, women separate, young men separate, old people separate, women with children separate.",FALSE,Agency_Active,
0,,,,"So I was trying to get together with my sisters, but they wouldn't naturally.",FALSE,,
0,I,was hit,in the head,"I was hit in the head, and I was put back in with the young people.",FALSE,Agency_Passive,
1,I,was put,back in with the young people,"I was hit in the head, and I was put back in with the young people.",FALSE,Agency_Passive,
0,we,marched,from the railroad station,And we marched from the railroad station.,FALSE,Agency_Active,
0,We,marched,to the camp,We marched to the camp.,FALSE,Agency_Active,
0,,,,"And my sisters were taken away, and I didn't see where.",FALSE,,
0,because the railroad station,was,in between Auschwitz Birkenau,"And all the other people were taken away also, to Birkenau, because the railroad station was in between Auschwitz and Birkenau.",FALSE,Orientation,
0,We,came,to Birkenau,We came to Birkenau.,FALSE,Agency_Active,
0,They,put,us up in a big place,They put us up in a big place.,FALSE,Agency_Active,
0,they,took,us into shower rooms,Then they took us into shower rooms.,FALSE,Agency_Active,
0,They,shaved,us,"They shaved us, they took all our clothes away, naturally.",FALSE,Agency_Active,
1,they,took,all our clothes,"They shaved us, they took all our clothes away, naturally.",FALSE,Agency_Active,
0,They,put,us up with a kind of stinky liquid you know,"They put us up with a kind of stinky liquid, you know.",FALSE,Agency_Active,
0,It,was,disinfectant,It was disinfectant.,FALSE,Orientation,
0,they,tattooed,our numbers,And then they tattooed our numbers.,FALSE,Agency_Active,
0,they,did,the tattooing it hurt you know,"In fact, when they did the tattooing, it hurt, you know, because they go with needles.",FALSE,Agency_Active,
1,they,go,with needles,"In fact, when they did the tattooing, it hurt, you know, because they go with needles.",FALSE,Agency_Active,
0,it,is,bloody,"At first, it's bloody.",FALSE,Evaluation,
0,Then it,becomes,blue the way it is,"Then it becomes blue, the way it is now.",FALSE,Agency_Active,
0,I,just twitched,my head,"But I just twitched my head, and I was hit in the head by a hand.",FALSE,Agency_Active,
1,I,was hit,in the head by a hand,"But I just twitched my head, and I was hit in the head by a hand.",FALSE,Agency_Passive,
0,it,was,very hard,"But it was very hard, because I moved my head, you know.",FALSE,Evaluation,
1,I,moved,my head you know,"But it was very hard, because I moved my head, you know.",FALSE,Agency_Active,
0,they,put,us up into different blocks different buildings,"After everything was done, they put us up into different blocks, different buildings.",FALSE,Agency_Active,
0,We,were put,into 7A with a group all young people,"We were put into 7A with a group of young people, all young people, which was the upper part of the building.",FALSE,Agency_Passive,
1,We,which was,the upper part of the building,"We were put into 7A with a group of young people, all young people, which was the upper part of the building.",FALSE,Orientation,this triplet is not correct
0,It,was,7 7A.,It was 7 and 7A.,FALSE,Orientation,
